,ONTOLOGY,ID,Description,GeneRatio,BgRatio,pvalue,p.adjust,qvalue,geneID,Count,
GO:0008347,BP,GO:0008347,glial cell migration,5/352,57/14611,0.011859983,0.122240288,0.105629594,Arhgef7/Ptprz1/Reln/Srgap2/Vim,5,
GO:0015800,BP,GO:0015800,acidic amino acid transport,5/352,57/14611,0.011859983,0.122240288,0.105629594,Adora1/Gabbr1/Grm1/Ntrk2/Slc17a7,5,
GO:0050433,BP,GO:0050433,regulation of catecholamine secretion,5/352,57/14611,0.011859983,0.122240288,0.105629594,Gabbr1/Myo5a/Prkcb/Syt2/Syt6,5,
GO:1902904,BP,GO:1902904,negative regulation of supramolecular fiber organization,9/352,153/14611,0.011862754,0.122240288,0.105629594,Arhgef7/Capza2/Coro2b/Map1b/Sptan1/Sptb/Sptbn1/Tmeff2/Tmod2,9,
GO:1904063,BP,GO:1904063,negative regulation of cation transmembrane transport,6/352,79/14611,0.011925352,0.122606681,0.105946199,Ephb2/Kcnab1/Oprl1/Pten/Rgs2/Rgs4,6,
GO:0050890,BP,GO:0050890,cognition,14/352,294/14611,0.012105243,0.124046406,0.107190287,Adora1/Aff2/App/Cacna1c/Ephb2/Kcnab1/Mecp2/Ntrk2/Oprl1/Pten/Ptprz1/Reln/Slc17a7/Tmod2,14,
GO:0050839,MF,GO:0050839,cell adhesion molecule binding,12/352,236/14611,0.012120105,0.124046406,0.107190287,App/Bsg/Cdh8/Cntn6/Dst/Frmd5/Kirrel3/Ptprd/Ptprt/Ptprz1/Sirpa/Tenm1,12,
GO:0007611,BP,GO:0007611,learning or memory,13/352,266/14611,0.012561511,0.128274526,0.110843867,Aff2/App/Cacna1c/Ephb2/Kcnab1/Mecp2/Ntrk2/Oprl1/Pten/Ptprz1/Reln/Slc17a7/Tmod2,13,
GO:0007204,BP,GO:0007204,positive regulation of cytosolic calcium ion concentration,11/352,209/14611,0.01260269,0.128405836,0.110957333,Ank2/Cacna1c/F2r/Gng3/Grin2c/Grm1/Myo5a/Oprl1/Ryr2/Ryr3/Tmbim6,11,
GO:0046658,CC,GO:0046658,anchored component of plasma membrane,4/352,38/14611,0.01282173,0.129886508,0.112236803,Car4/Cntn6/Rgs7bp/Rtn4rl1,4,
GO:0051930,BP,GO:0051930,regulation of sensory perception of pain,4/352,38/14611,0.01282173,0.129886508,0.112236803,Adora1/F2r/Grm1/Oprl1,4,
GO:0043409,BP,GO:0043409,negative regulation of MAPK cascade,9/352,155/14611,0.012833956,0.129886508,0.112236803,Camk2n1/Dlg1/Dnaja1/Dusp5/Ephb2/Pten/Ptprr/Rgs2/Sirpa,9,
GO:0060249,BP,GO:0060249,anatomical structure homeostasis,12/352,239/14611,0.013286391,0.133363539,0.115241356,Aldh1a1/Ankrd11/Bsg/Ercc6/F2r/Gigyf2/Il20rb/Ildr2/Kcnh1/Sh3gl2/Slc17a7/Trim32,12,
GO:0010829,BP,GO:0010829,negative regulation of glucose transmembrane transport,3/352,21/14611,0.013363445,0.133363539,0.115241356,Appl2/Pea15a/Prkcb,3,
GO:0036379,CC,GO:0036379,myofilament,3/352,21/14611,0.013363445,0.133363539,0.115241356,Tmod2/Tpm2/Trim32,3,
GO:0046782,BP,GO:0046782,regulation of viral transcription,3/352,21/14611,0.013363445,0.133363539,0.115241356,Trim32/Trim62/Ubp1,3,
GO:0097470,CC,GO:0097470,ribbon synapse,3/352,21/14611,0.013363445,0.133363539,0.115241356,Ctbp2/Pacsin1/Sh3gl2,3,
GO:0099604,MF,GO:0099604,ligand-gated calcium channel activity,3/352,21/14611,0.013363445,0.133363539,0.115241356,Grin2c/Ryr2/Ryr3,3,
GO:0021543,BP,GO:0021543,pallium development,8/352,130/14611,0.013412831,0.133363539,0.115241356,Id4/Kirrel3/Ntrk2/Pten/Reln/Rnf7/Srgap2/Zbtb18,8,
GO:1902806,BP,GO:1902806,regulation of cell cycle G1/S phase transition,8/352,130/14611,0.013412831,0.133363539,0.115241356,Appl2/Ccnd3/Dlg1/Gigyf2/Ino80/Pagr1a/Plk5/Pten,8,
GO:0008076,CC,GO:0008076,voltage-gated potassium channel complex,5/352,59/14611,0.013641618,0.134751846,0.116441012,Kcnab1/Kcnab2/Kcnb2/Kcnh1/Kcnj3,5,
GO:0021766,BP,GO:0021766,hippocampus development,5/352,59/14611,0.013641618,0.134751846,0.116441012,Id4/Kirrel3/Pten/Reln/Zbtb18,5,
GO:0043903,BP,GO:0043903,regulation of biological process involved in symbiotic interaction,5/352,59/14611,0.013641618,0.134751846,0.116441012,Bsg/Ifitm3/Trim32/Trim62/Tsg101,5,
GO:0015711,BP,GO:0015711,organic anion transport,12/352,240/14611,0.013693633,0.134971594,0.116630899,Adora1/Car4/Gabbr1/Grm1/Nfe2l1/Ntrk2/Rgs2/Rgs4/Slc17a7/Slc4a4/Slc4a7/Slc4a8,12,
GO:0019903,MF,GO:0019903,protein phosphatase binding,9/352,157/14611,0.013863108,0.135558866,0.11713837,Ank1/Bod1l/Cacna1c/Lgals3/Ppp1r9b/Ppp3cb/Ptprt/Sirpa/Vim,9,
GO:0051924,BP,GO:0051924,regulation of calcium ion transport,11/352,212/14611,0.01389582,0.135558866,0.11713837,Ank2/Cacna1c/F2r/Il16/Lgals3/Myo5a/Oprl1/Rgs4/Ryr2/Saraf/Tmbim6,11,
GO:0006865,BP,GO:0006865,amino acid transport,8/352,131/14611,0.013996173,0.135558866,0.11713837,Adora1/Gabbr1/Grm1/Nfe2l1/Ntrk2/Rgs2/Rgs4/Slc17a7,8,
GO:0098739,BP,GO:0098739,import across plasma membrane,8/352,131/14611,0.013996173,0.135558866,0.11713837,Cacna1c/Dlg1/Grm1/Kcnj12/Kcnj3/Rgs2/Rgs4/Wnk1,8,
GO:0014037,BP,GO:0014037,Schwann cell differentiation,4/352,39/14611,0.0140223,0.135558866,0.11713837,Arhgef10/Erbb3/Ntrk2/Ntrk3,4,
GO:0016469,CC,GO:0016469,proton-transporting two-sector ATPase complex,4/352,39/14611,0.0140223,0.135558866,0.11713837,Atp5o/Atp6v1a/Atp6v1e1/Atp6v1g2,4,
GO:0051931,BP,GO:0051931,regulation of sensory perception,4/352,39/14611,0.0140223,0.135558866,0.11713837,Adora1/F2r/Grm1/Oprl1,4,
GO:0051955,BP,GO:0051955,regulation of amino acid transport,4/352,39/14611,0.0140223,0.135558866,0.11713837,Adora1/Gabbr1/Rgs2/Rgs4,4,
GO:0099174,BP,GO:0099174,regulation of presynapse organization,4/352,39/14611,0.0140223,0.135558866,0.11713837,App/Ntrk3/Ptprd/Wnt7a,4,
GO:0106027,BP,GO:0106027,neuron projection organization,7/352,106/14611,0.014147194,0.136475274,0.117930251,Abhd17b/App/Ephb2/Itpka/Pten/Reln/Wnt7a,7,
GO:0030705,BP,GO:0030705,cytoskeleton-dependent intracellular transport,10/352,185/14611,0.014307406,0.137435969,0.118760401,App/Arhgap21/Dst/Ift57/Lamp1/Map1b/Mecp2/Myo5a/Pura/Wasf1,10,
GO:0032984,BP,GO:0032984,protein-containing complex disassembly,10/352,185/14611,0.014307406,0.137435969,0.118760401,Capza2/Map1b/Napb/Nsf/Sh3gl2/Sh3gl3/Sptan1/Sptb/Sptbn1/Tmod2,10,
GO:0048638,BP,GO:0048638,regulation of developmental growth,15/352,331/14611,0.014559512,0.139562002,0.120597537,App/Barhl2/Cacna1c/Cpne9/Dlg1/Gdi1/Golga4/Map1b/Mecp2/Ntrk3/Olfm1/Pten/Rgs2/Rgs4/Syt2,15,
GO:0050432,BP,GO:0050432,catecholamine secretion,5/352,60/14611,0.014596505,0.139621423,0.120648884,Gabbr1/Myo5a/Prkcb/Syt2/Syt6,5,
GO:0014065,BP,GO:0014065,phosphatidylinositol 3-kinase signaling,7/352,107/14611,0.014835361,0.141297124,0.122096881,Erbb3/F2r/Ntrk2/Ntrk3/Prex2/Pten/Reln,7,
GO:0032411,BP,GO:0032411,positive regulation of transporter activity,7/352,107/14611,0.014835361,0.141297124,0.122096881,Ank2/Ephb2/Myo5a/Reln/Ryr2/Tesc/Wnk1,7,
GO:0008088,BP,GO:0008088,axo-dendritic transport,6/352,83/14611,0.014958672,0.141297124,0.122096881,App/Dst/Mecp2/Myo5a/Pura/Wasf1,6,
GO:0015844,BP,GO:0015844,monoamine transport,6/352,83/14611,0.014958672,0.141297124,0.122096881,Gabbr1/Lgals3/Myo5a/Prkcb/Syt2/Syt6,6,
GO:0033138,BP,GO:0033138,positive regulation of peptidyl-serine phosphorylation,6/352,83/14611,0.014958672,0.141297124,0.122096881,App/Ercc6/Ntrk2/Ntrk3/Tenm1/Txn1,6,
GO:0033555,BP,GO:0033555,multicellular organismal response to stress,6/352,83/14611,0.014958672,0.141297124,0.122096881,Ephb2/Git2/Mecp2/Prkcg/Pten/Reln,6,
GO:0003094,BP,GO:0003094,glomerular filtration,3/352,22/14611,0.015202225,0.142265092,0.122933316,Adora1/Coro2b/F2r,3,
GO:0007176,BP,GO:0007176,regulation of epidermal growth factor-activated receptor activity,3/352,22/14611,0.015202225,0.142265092,0.122933316,Adora1/App/Tsg101,3,
GO:1901380,BP,GO:1901380,negative regulation of potassium ion transmembrane transport,3/352,22/14611,0.015202225,0.142265092,0.122933316,Kcnab1/Pten/Rgs4,3,
GO:1902992,BP,GO:1902992,negative regulation of amyloid precursor protein catabolic process,3/352,22/14611,0.015202225,0.142265092,0.122933316,Ntrk2/Olfm1/Tmed10,3,
GO:0006941,BP,GO:0006941,striated muscle contraction,8/352,133/14611,0.015218035,0.142265092,0.122933316,Adora1/Ank2/Cacna1c/Dlg1/Rgs2/Ryr2/Ryr3/Scn1b,8,
GO:0030048,BP,GO:0030048,actin filament-based movement,7/352,108/14611,0.015547068,0.145041991,0.125332874,Adora1/Ank2/Cacna1c/Dlg1/Myo5a/Ryr2/Scn1b,7,
GO:0030667,CC,GO:0030667,secretory granule membrane,5/352,61/14611,0.015595201,0.145192277,0.125462739,Bsg/Car4/Scg3/Tmed10/Trip11,5,
GO:0099111,BP,GO:0099111,microtubule-based transport,10/352,188/14611,0.015850673,0.14726834,0.127256695,App/Arhgap21/Dst/Ift57/Lamp1/Map1b/Mecp2/Myo5a/Pura/Wasf1,10,
GO:0005543,MF,GO:0005543,phospholipid binding,16/352,366/14611,0.016171061,0.149937814,0.129563426,Adgrb1/Appl2/Arhgap35/Cpne9/Dennd1a/Gpr12/Kcnh1/Map1b/Mark1/Mtss1/Pacsin1/Snx25/Sptbn1/Syt2/Syt6/Wdfy3,16,
GO:0003016,BP,GO:0003016,respiratory system process,4/352,41/14611,0.016631571,0.153217604,0.132397539,Adora1/Mecp2/Tlx3/Ywhaz,4,
GO:0099601,BP,GO:0099601,regulation of neurotransmitter receptor activity,5/352,62/14611,0.016638491,0.153217604,0.132397539,App/Ephb2/Nptx1/Reln/Shisa8,5,
GO:0034766,BP,GO:0034766,negative regulation of ion transmembrane transport,6/352,85/14611,0.016659964,0.153217604,0.132397539,Ephb2/Kcnab1/Oprl1/Pten/Rgs2/Rgs4,6,
GO:0048814,BP,GO:0048814,regulation of dendrite morphogenesis,6/352,85/14611,0.016659964,0.153217604,0.132397539,Cux1/Ephb2/Itpka/Ptprd/Ptprz1/Reln,6,
GO:0034764,BP,GO:0034764,positive regulation of transmembrane transport,10/352,190/14611,0.016946129,0.155533906,0.134399089,Ank2/Cacna1c/Ephb2/Erbb3/F2r/Myo5a/Reln/Ryr2/Tesc/Wnk1,10,
GO:0006120,BP,GO:0006120,"mitochondrial electron transport, NADH to ubiquinone",3/352,23/14611,0.017176497,0.156382001,0.13513194,Ndufa10/Ndufb6/Ndufs8,3,
GO:0030507,MF,GO:0030507,spectrin binding,3/352,23/14611,0.017176497,0.156382001,0.13513194,Ank1/Ank2/Sptan1,3,
GO:0070325,MF,GO:0070325,lipoprotein particle receptor binding,3/352,23/14611,0.017176497,0.156382001,0.13513194,App/Dnaja1/Reln,3,
GO:0097205,BP,GO:0097205,renal filtration,3/352,23/14611,0.017176497,0.156382001,0.13513194,Adora1/Coro2b/F2r,3,
GO:0043235,CC,GO:0043235,receptor complex,14/352,308/14611,0.01748595,0.158880356,0.137290806,App/Ephb2/Erbb3/Gabbr1/Gabra1/Gpr37/Gria3/Grin2c/Grm1/Ntrk2/Ntrk3/Olfm1/Rnmt/Shisa8,14,
GO:0006939,BP,GO:0006939,smooth muscle contraction,6/352,86/14611,0.017558684,0.158904339,0.137311529,Adora1/Cacna1c/Cald1/Dlg1/F2r/Rgs2,6,
GO:0031234,CC,GO:0031234,extrinsic component of cytoplasmic side of plasma membrane,6/352,86/14611,0.017558684,0.158904339,0.137311529,Gna12/Gnaq/Gng3/Kcnab1/Kcnab2/Ryr2,6,
GO:0005882,CC,GO:0005882,intermediate filament,5/352,63/14611,0.017727133,0.159790894,0.138077614,Dst/Ina/Myo5a/Nme1/Vim,5,
GO:0061097,BP,GO:0061097,regulation of protein tyrosine kinase activity,5/352,63/14611,0.017727133,0.159790894,0.138077614,Adora1/App/Erbb3/Reln/Tsg101,5,
GO:0019722,BP,GO:0019722,calcium-mediated signaling,8/352,137/14611,0.017890975,0.160947776,0.139077292,Ank2/App/Erbb3/Grm1/Ntrk2/Ppp1r9b/Ppp3cb/Ryr2,8,
GO:0043268,BP,GO:0043268,positive regulation of potassium ion transport,4/352,42/14611,0.018042527,0.161350726,0.139425487,Adora1/Ank2/Dlg1/Wnk1,4,
GO:0099738,CC,GO:0099738,cell cortex region,4/352,42/14611,0.018042527,0.161350726,0.139425487,Anln/Ctbp2/Erc2/Phldb1,4,
GO:1902991,BP,GO:1902991,regulation of amyloid precursor protein catabolic process,4/352,42/14611,0.018042527,0.161350726,0.139425487,App/Ntrk2/Olfm1/Tmed10,4,
GO:0010256,BP,GO:0010256,endomembrane system organization,17/352,403/14611,0.018397379,0.164200225,0.14188778,Ank2/Arhgap21/Arhgef7/Mtss1/Myo5a/Pacsin1/Plk5/Pten/Sh3gl2/Sptb/Sptbn1/Syt2/Tbpl1/Tmed10/Tmeff2/Trip11/Ywhaz,17,
GO:0005267,MF,GO:0005267,potassium channel activity,6/352,87/14611,0.01849015,0.164381063,0.142044045,Kcnab1/Kcnab2/Kcnb2/Kcnh1/Kcnj12/Kcnj3,6,
GO:0097731,CC,GO:0097731,9+0 non-motile cilium,6/352,87/14611,0.01849015,0.164381063,0.142044045,Bsg/Dynll2/Ift57/Map1b/Myo5a/Ptprk,6,
GO:0001726,CC,GO:0001726,ruffle,8/352,138/14611,0.018608703,0.164788786,0.142396365,Appl2/Gas7/Myo5a/Nme1/Pacsin1/Ppp1r9b/Ptprz1/Tesc,8,
GO:0060401,BP,GO:0060401,cytosolic calcium ion transport,8/352,138/14611,0.018608703,0.164788786,0.142396365,Ank2/Cacna1c/F2r/Grin2c/Myo5a/Ryr2/Ryr3/Tmbim6,8,
GO:0007422,BP,GO:0007422,peripheral nervous system development,5/352,64/14611,0.018861854,0.165620358,0.143114938,Arhgef10/Erbb3/Hapln2/Ntrk2/Ntrk3,5,
GO:0032587,CC,GO:0032587,ruffle membrane,5/352,64/14611,0.018861854,0.165620358,0.143114938,Appl2/Nme1/Pacsin1/Ppp1r9b/Ptprz1,5,
GO:0046847,BP,GO:0046847,filopodium assembly,5/352,64/14611,0.018861854,0.165620358,0.143114938,Ephb2/Mien1/Ppp1r9b/Srgap2/Tenm1,5,
GO:0098657,BP,GO:0098657,import into cell,9/352,166/14611,0.019262983,0.165620358,0.143114938,Cacna1c/Dlg1/Grm1/Kcnj12/Kcnj3/Rgs2/Rgs4/Tsg101/Wnk1,9,
GO:0001919,BP,GO:0001919,regulation of receptor recycling,3/352,24/14611,0.019287064,0.165620358,0.143114938,Gria3/Nsf/Tbc1d16,3,
GO:0002183,BP,GO:0002183,cytoplasmic translational initiation,3/352,24/14611,0.019287064,0.165620358,0.143114938,Eif4b/Eif4h/Eif5,3,
GO:0007413,BP,GO:0007413,axonal fasciculation,3/352,24/14611,0.019287064,0.165620358,0.143114938,Arhgap35/Ephb2/Ptprz1,3,
GO:0016655,MF,GO:0016655,"oxidoreductase activity, acting on NAD(P)H, quinone or similar compound as acceptor",3/352,24/14611,0.019287064,0.165620358,0.143114938,Ndufa10/Ndufb7/Ndufs8,3,
GO:0017075,MF,GO:0017075,syntaxin-1 binding,3/352,24/14611,0.019287064,0.165620358,0.143114938,Myo5a/Nsf/Syp,3,
GO:0022010,BP,GO:0022010,central nervous system myelination,3/352,24/14611,0.019287064,0.165620358,0.143114938,Id4/Nkx6-2/Pten,3,
GO:0032291,BP,GO:0032291,axon ensheathment in central nervous system,3/352,24/14611,0.019287064,0.165620358,0.143114938,Id4/Nkx6-2/Pten,3,
GO:0033176,CC,GO:0033176,proton-transporting V-type ATPase complex,3/352,24/14611,0.019287064,0.165620358,0.143114938,Atp6v1a/Atp6v1e1/Atp6v1g2,3,
GO:0043236,MF,GO:0043236,laminin binding,3/352,24/14611,0.019287064,0.165620358,0.143114938,Lgals3/Ncl/Ntn4,3,
GO:0086091,BP,GO:0086091,regulation of heart rate by cardiac conduction,3/352,24/14611,0.019287064,0.165620358,0.143114938,Ank2/Cacna1c/Scn1b,3,
GO:0106030,BP,GO:0106030,neuron projection fasciculation,3/352,24/14611,0.019287064,0.165620358,0.143114938,Arhgap35/Ephb2/Ptprz1,3,
GO:1903861,BP,GO:1903861,positive regulation of dendrite extension,3/352,24/14611,0.019287064,0.165620358,0.143114938,Cpne9/Mecp2/Syt2,3,
GO:0006820,BP,GO:0006820,anion transport,15/352,343/14611,0.019446743,0.16643091,0.143815348,Adora1/Car4/Car7/Clic6/Gabbr1/Gabra1/Grm1/Nfe2l1/Ntrk2/Rgs2/Rgs4/Slc17a7/Slc4a4/Slc4a7/Slc4a8,15,
GO:0090079,MF,GO:0090079,"translation regulator activity, nucleic acid binding",6/352,88/14611,0.01945487,0.16643091,0.143815348,Eef1b2/Eif1b/Eif4b/Eif4h/Eif5/Pura,6,
GO:0099529,MF,GO:0099529,neurotransmitter receptor activity involved in regulation of postsynaptic membrane potential,4/352,43/14611,0.019525723,0.166722467,0.144067286,Gabbr1/Gabra1/Gria3/Grin2c,4,
GO:0001558,BP,GO:0001558,regulation of cell growth,16/352,375/14611,0.019832222,0.169021227,0.146053678,Barhl2/Cpne9/Gdi1/Golga4/Igfbp5/Ino80/Map1b/Mecp2/Ntrk3/Olfm1/Ppp1r9b/Rgs2/Rgs4/Syt2/Trim32/Tsg101,16,
GO:0043484,BP,GO:0043484,regulation of RNA splicing,8/352,140/14611,0.020105588,0.171029524,0.147789076,Acin1/Aff2/Celf2/Malat1/Ncl/Rbfox1/Srrm4/Tmbim6,8,
GO:1903828,BP,GO:1903828,negative regulation of cellular protein localization,7/352,114/14611,0.020333602,0.172322523,0.148906375,Abhd17b/App/Astn2/Dclk1/Dnaja1/Gdi1/Txn1,7,
GO:2000045,BP,GO:2000045,regulation of G1/S transition of mitotic cell cycle,7/352,114/14611,0.020333602,0.172322523,0.148906375,Appl2/Ccnd3/Dlg1/Gigyf2/Ino80/Plk5/Pten,7,
GO:0019208,MF,GO:0019208,phosphatase regulator activity,6/352,89/14611,0.020453338,0.172970322,0.149466148,Bod1l/Ppp1r12b/Ppp1r14a/Ppp1r17/Ppp1r9b/Tesc,6,
GO:0051047,BP,GO:0051047,positive regulation of secretion,13/352,284/14611,0.020486339,0.172970322,0.149466148,Adora1/Arhgef7/Bsg/Camk2n1/Exph5/Gabbr1/Lamp1/Lgals3/Oprl1/Ppp3cb/Slc4a8/Tmed10/Tsg101,13,
GO:0071248,BP,GO:0071248,cellular response to metal ion,8/352,141/14611,0.020885313,0.17601117,0.152093788,Cpne9/Kcnh1/Mecp2/Nfe2l1/Nptx1/Syt2/Syt6/Wnk1,8,
GO:0008328,CC,GO:0008328,ionotropic glutamate receptor complex,4/352,44/14611,0.021082072,0.176358141,0.152393611,Gria3/Grin2c/Olfm1/Shisa8,4,
GO:0015370,MF,GO:0015370,solute:sodium symporter activity,4/352,44/14611,0.021082072,0.176358141,0.152393611,Slc17a7/Slc4a4/Slc4a7/Slc4a8,4,
GO:0043090,BP,GO:0043090,amino acid import,4/352,44/14611,0.021082072,0.176358141,0.152393611,Grm1/Rgs2/Rgs4/Slc17a7,4,
GO:0098878,CC,GO:0098878,neurotransmitter receptor complex,4/352,44/14611,0.021082072,0.176358141,0.152393611,Gria3/Grin2c/Olfm1/Shisa8,4,
GO:0090257,BP,GO:0090257,regulation of muscle system process,10/352,197/14611,0.021223777,0.176448783,0.152471936,Adora1/Ank2/Cacna1c/Cald1/Dlg1/F2r/Igfbp5/Rgs2/Rgs4/Ryr2,10,
GO:0005773,CC,GO:0005773,vacuole,19/352,474/14611,0.02123676,0.176448783,0.152471936,Ank2/Ap5s1/App/Arhgef7/Arsg/Atp6v1a/Atp6v1e1/Atp6v1g2/Fnbp1/Got1/Ifitm3/Itm2c/Lamp1/Mlc1/Myo5a/Napb/Neu1/Slc22a17/Wdfy3,19,
GO:0032755,BP,GO:0032755,positive regulation of interleukin-6 production,5/352,66/14611,0.021272292,0.176448783,0.152471936,App/Bsg/F2r/Il16/Ncl,5,
GO:0051966,BP,GO:0051966,"regulation of synaptic transmission, glutamatergic",5/352,66/14611,0.021272292,0.176448783,0.152471936,Adora1/Grm1/Myo5a/Ntrk2/Reln,5,
GO:0001819,BP,GO:0001819,positive regulation of cytokine production,14/352,316/14611,0.021287491,0.176448783,0.152471936,Akap12/App/Bsg/Cd83/Ephb2/F2r/Il16/Il20rb/Ncl/Rftn1/Sptbn1/Stat1/Tmed10/Trim32,14,
GO:0008066,MF,GO:0008066,glutamate receptor activity,3/352,25/14611,0.021534415,0.177383036,0.153279238,Gria3/Grin2c/Grm1,3,
GO:0097062,BP,GO:0097062,dendritic spine maintenance,3/352,25/14611,0.021534415,0.177383036,0.153279238,Abhd17b/App/Itpka,3,
GO:1902883,BP,GO:1902883,negative regulation of response to oxidative stress,3/352,25/14611,0.021534415,0.177383036,0.153279238,Gpr37/Ncoa7/Txn1,3,
GO:0043087,BP,GO:0043087,regulation of GTPase activity,13/352,286/14611,0.021556695,0.177383036,0.153279238,Arhgap35/Arhgef10/Arhgef7/Dennd1a/Dock9/Eif5/F2r/Ntrk2/Ntrk3/Rgs4/Srgap2/Tbc1d16/Wnk1,13,
GO:0030307,BP,GO:0030307,positive regulation of cell growth,9/352,170/14611,0.022097112,0.181154061,0.156537835,Cpne9/Gdi1/Golga4/Ino80/Map1b/Mecp2/Ntrk3/Syt2/Trim32,9,
GO:0098742,BP,GO:0098742,cell-cell adhesion via plasma-membrane adhesion molecules,9/352,170/14611,0.022097112,0.181154061,0.156537835,Bsg/Cdh8/Cntn6/Kirrel3/Lrrc4/Ptprd/Ptprt/Tenm1/Wnk1,9,
GO:0050680,BP,GO:0050680,negative regulation of epithelial cell proliferation,7/352,116/14611,0.022134837,0.181154061,0.156537835,Atpif1/Dlg1/Ift57/Mtss1/Pten/Ptprk/Stat1,7,
GO:0071417,BP,GO:0071417,cellular response to organonitrogen compound,18/352,444/14611,0.022218352,0.181509923,0.15684534,App/Appl2/Ccnd3/Gabra1/Gnaq/Grb14/Igfbp5/Mecp2/Myo5a/Ntrk2/Pkm/Ppp1r9b/Prkcb/Pten/Rgs4/Ryr2/Vim/Zfp106,18,
GO:0006892,BP,GO:0006892,post-Golgi vesicle-mediated transport,6/352,91/14611,0.022553419,0.18198294,0.157254081,Golga4/Lamp1/Myo5a/Nbea/Nsf/Sptbn1,6,
GO:0003743,MF,GO:0003743,translation initiation factor activity,4/352,45/14611,0.022712398,0.18198294,0.157254081,Eif1b/Eif4b/Eif4h/Eif5,4,
GO:0014014,BP,GO:0014014,negative regulation of gliogenesis,4/352,45/14611,0.022712398,0.18198294,0.157254081,Id4/Mecp2/Nkx6-2/Ntrk3,4,
GO:1902905,BP,GO:1902905,positive regulation of supramolecular fiber organization,9/352,171/14611,0.022850034,0.18198294,0.157254081,App/Arhgef10/Arpc5l/Dlg1/Map1b/Mecp2/Mtss1/Tenm1/Wasf1,9,
GO:0010720,BP,GO:0010720,positive regulation of cell development,14/352,319/14611,0.02286287,0.18198294,0.157254081,Cux1/Ephb2/Gdi1/Golga4/Itpka/Map1b/Nkx6-2/Ntrk2/Ntrk3/Ptprd/Ptprz1/Reln/Trim32/Vim,14,
GO:0001771,BP,GO:0001771,immunological synapse formation,2/352,10/14611,0.022918451,0.18198294,0.157254081,Dlg1/Lgals3,2,
GO:0007270,BP,GO:0007270,neuron-neuron synaptic transmission,2/352,10/14611,0.022918451,0.18198294,0.157254081,Pten/Tmod2,2,
GO:0010958,BP,GO:0010958,regulation of amino acid import across plasma membrane,2/352,10/14611,0.022918451,0.18198294,0.157254081,Rgs2/Rgs4,2,
GO:0015669,BP,GO:0015669,gas transport,2/352,10/14611,0.022918451,0.18198294,0.157254081,Car14/Car4,2,
GO:0019215,MF,GO:0019215,intermediate filament binding,2/352,10/14611,0.022918451,0.18198294,0.157254081,Nme1/Vim,2,
GO:0019755,BP,GO:0019755,one-carbon compound transport,2/352,10/14611,0.022918451,0.18198294,0.157254081,Car14/Car4,2,
GO:0044557,BP,GO:0044557,relaxation of smooth muscle,2/352,10/14611,0.022918451,0.18198294,0.157254081,Adora1/Rgs2,2,
GO:0051967,BP,GO:0051967,"negative regulation of synaptic transmission, glutamatergic",2/352,10/14611,0.022918451,0.18198294,0.157254081,Adora1/Myo5a,2,
GO:0072102,BP,GO:0072102,glomerulus morphogenesis,2/352,10/14611,0.022918451,0.18198294,0.157254081,Kirrel3/Mtss1,2,
GO:0097119,BP,GO:0097119,postsynaptic density protein 95 clustering,2/352,10/14611,0.022918451,0.18198294,0.157254081,Lrrc4/Reln,2,
GO:1903789,BP,GO:1903789,regulation of amino acid transmembrane transport,2/352,10/14611,0.022918451,0.18198294,0.157254081,Rgs2/Rgs4,2,
GO:0008344,BP,GO:0008344,adult locomotory behavior,6/352,92/14611,0.02365595,0.187305903,0.16185373,App/Cacna1c/Gigyf2/Mecp2/Prex2/Sez6l,6,
GO:0042490,BP,GO:0042490,mechanoreceptor differentiation,5/352,68/14611,0.023875002,0.187305903,0.16185373,Cux1/Ntrk2/Ntrk3/Slc4a7/Trip11,5,
GO:0006891,BP,GO:0006891,intra-Golgi vesicle-mediated transport,3/352,26/14611,0.023918738,0.187305903,0.16185373,Cux1/Nsf/Rab6a,3,
GO:0014047,BP,GO:0014047,glutamate secretion,3/352,26/14611,0.023918738,0.187305903,0.16185373,Adora1/Gabbr1/Ntrk2,3,
GO:0051654,BP,GO:0051654,establishment of mitochondrion localization,3/352,26/14611,0.023918738,0.187305903,0.16185373,Map1b/Mark1/Wasf1,3,
GO:0071312,BP,GO:0071312,cellular response to alkaloid,3/352,26/14611,0.023918738,0.187305903,0.16185373,Mecp2/Ppp1r9b/Ryr2,3,
GO:2000272,BP,GO:2000272,negative regulation of signaling receptor activity,3/352,26/14611,0.023918738,0.187305903,0.16185373,Ephb2/Pten/Tsg101,3,
GO:0003012,BP,GO:0003012,muscle system process,14/352,321/14611,0.023960614,0.187305903,0.16185373,Adora1/Ank2/Cacna1c/Cald1/Dlg1/F2r/Igfbp5/Rgs2/Rgs4/Ryr2/Ryr3/Scn1b/Tmod2/Tpm2,14,
GO:0006816,BP,GO:0006816,calcium ion transport,14/352,321/14611,0.023960614,0.187305903,0.16185373,Ank2/Cacna1c/F2r/Grin2c/Il16/Lgals3/Myo5a/Oprl1/Prkcb/Rgs4/Ryr2/Ryr3/Saraf/Tmbim6,14,
GO:0043204,CC,GO:0043204,perikaryon,7/352,118/14611,0.024043707,0.187631954,0.162135475,Gigyf2/Gria3/Kcnab1/Map1b/Ntrk2/Reln/Rgs7bp,7,
